150207	399983	4.5	+3.0%	永续	150208	161721	5:5	1.00%	0.50%	地产分级
150209	399974	4.5	+3.0%	永续	150210	161026	5:5	0	0.50%	国企改革
150211	399976	5	+3.5%	永续	150212	161028	5:5	0	0.50%	新能源车
150213	399958	5	+3.5%	永续	150214	161223	5:5	0.50%	0.50%	国投成长
150215	399610	4.5	+3.0%	永续	150216	160224	5:5	0	0.70%	国泰TMT
150217	399412	4.5	+3.0%	永续	150218	164905	5:5	1.20%	0.50%	交银新能
150219	000001	6	+4.5%	永续	150220	164401	5:5	1.20%	0.50%	健康分级
150221	399959	6.5	+5.0%	永续	150222	164402	5:5	1.20%	0.50%	中航军工
150223	399975	6	6.0%	永续	150224	161027	5:5	0	0.50%	证券分级
150225	399966	5	+3.5%	永续	150226	160516	5:5	1.00%	0.50%	博时证保
150227	399986	4.5	+3.0%	永续	150228	160631	5:5	0	0.50%	银行指基
150229	399987	4.5	+3.0%	永续	150230	160632	5:5	0	0.50%	酒分级
150231	399811	4.5	+3.0%	永续	150232	163116	5:5	0	0.50%	申万电子
150233	399810	4.5	+3.0%	永续	150234	163117	5:5	0	0.50%	申万传媒
150235	399975	4.5	+3.0%	永续	150236	160633	5:5	0	0.50%	券商指基
150237	000827	4.5	+3.0%	永续	150238	160634	5:5	0	0.50%	环保分级
150241	399986	4.5	+3.0%	永续	150242	161029	5:5	0	0.50%	银行分级
150243	399006	4.5	+3.0%	永续	150244	160637	5:5	0	0.50%	创业指基
150245	399970	4.5	+3.0%	永续	150246	160636	5:5	0	0.50%	互联网
150247	399971	5.5	+4.0%	永续	150248	164818	5:5	0	0.70%	传媒母基
150249	399986	4.5	+3.0%	永续	150250	161723	5:5	1.00%	0.50%	银行基金
150251	399990	4.5	+3.0%	永续	150252	161724	5:5	1.00%	0.50%	煤炭分级
150255	399986	4.5	+3.0%	永续	150256	161121	5:5	0	0.50%	银行业
150257	399993	4.5	+3.0%	永续	150258	161122	5:5	0	0.50%	生物分级
150259	399992	4.5	+3.0%	永续	150260	161123	5:5	0	0.50%	重组分级
150261	399989	5.5	+4.0%	永续	150262	162412	5:5	0	0.50%	医疗分级
150263	000852	5.5	+4.0%	永续	150264	162413	5:5	0	0.50%	1000分级
150265	399991	5.5	+4.0%	永续	150266	168201	5:5	0	0.70%	一带一路
150267	399986	5	+3.5%	永续	150268	160517	5:5	1.00%	0.50%	博时银行
150269	399997	4.5	+3.0%	永续	150270	161725	5:5	1.00%	0.50%	白酒分级
150271	399441	4.5	+3.0%	永续	150272	161726	5:5	1.00%	0.50%	生物医药
150273	399991	4.5	+3.0%	永续	150274	160638	5:5	0	0.50%	带路分级
150275	399991	4.5	+3.0%	永续	150276	167503	5:5	0.50%	0.50%	一带分级
150277	399807	4.5	+3.0%	永续	150278	160639	5:5	0	0.50%	高铁分级
150279	399808	4.5	+3.0%	永续	150280	160640	5:5	0	0.50%	新能源
150281	399934	5	+3.5%	永续	150282	160814	5:5	1.20%	0.50%	金融地产
150283	000808	4.5	+3.0%	永续	150284	163118	5:5	0	0.50%	医药生物
150287	399440	5.5	+4.0%	永续	150288	168203	5:5	0	0.70%	钢铁母基
150289	399998	5.5	+4.0%	永续	150290	168204	5:5	0	0.70%	煤炭母基
150291	399986	5.5	+4.0%	永续	150292	168205	5:5	0	0.70%	银行母基
150293	399807	5.5	+4.0%	永续	150294	160135	5:5	0	0.50%	高铁基金
150295	399974	5	+3.5%	永续	150296	160136	5:5	0	0.50%	改革基金
150297	000001	5.5	+4.0%	永续	150298	160137	5:5	0	0.50%	互联基金
150299	399986	5.5	+4.0%	永续	150300	160418	5:5	0	0.50%	银行股基
150301	399975	5.5	+4.0%	永续	150302	160419	5:5	0	0.50%	证券股基
150303	399673	5.5	+4.0%	永续	150304	160420	5:5	0	0.50%	创业50
150305	399812	4.5	+3.0%	永续	150306	168001	5:5	1.00%	0.50%	国寿养老
150307	399804	4.5	+3.0%	永续	150308	161030	5:5	0	0.50%	体育分级
150309	399994	4.5	+3.0%	永续	150310	165523	5:5	0	0.50%	信息安全
150311	399996	4.5	+3.0%	永续	150312	165524	5:5	0	0.50%	智能家居
150315	399803	4.5	+3.0%	永续	150316	161031	5:5	0	0.50%	工业4
150317	399805	5.5	+4.0%	永续	150318	164907	5:5	1.20%	0.50%	E金融
150321	399998	6.5	+5.0%	永续	150322	161032	5:5	0	0.60%	煤炭基金
150323	000827	5.5	+4.0%	永续	150324	164819	5:5	0	0.70%	环保母基
150325	399807	5.5	+4.0%	永续	150326	164820	5:5	0	0.70%	高铁母基
150327	399808	5.5	+4.0%	永续	150328	164821	5:5	0	0.70%	新能母基
150329	399809	4.5	+3.0%	永续	150330	167301	5:5	0.80%	0.50%	保险分级
150331	399805	6	+4.5%	永续	150332	165315	5:5	0.50%	0.50%	网金融
150335	399967	5.5	+4.0%	永续	150336	161628	5:5	1.20%	0.50%	融通军工
150343	399975	5.5	+4.0%	永续	150344	161629	5:5	1.20%	0.50%	融通证券
502001	399982	5	+3.5%	永续	502002	502000	5:5	0.10%	0.50%	500等权
502004	399967	4.5	+3.0%	永续	502005	502003	5:5	0	0.50%	军工分级
502007	399974	4.5	+3.0%	永续	502008	502006	5:5	0	0.50%	国企改革
502011	399975	4.5	+3.0%	永续	502012	502010	5:5	0	0.50%	证券分级
502014	000853	5	+3.5%	永续	502015	502013	5:5	1.20%	0.50%	一带一路
502017	399991	4.5	+3.0%	永续	502018	502016	5:5	1.20%	0.50%	带路分级
502021	000016	5	+3.5%	永续	502022	502020	5:5	1.00%	0.50%	国金50
502024	399440	4.5	+3.0%	永续	502025	502023	5:5	0	0.50%	钢铁分级
502027	399429	4.5	+3.0%	永续	502028	502026	5:5	0	0.50%	新丝路
502031	399807	5	+3.5%	永续	502032	502030	5:5	0.60%	0.50%	高铁分级
502037	399805	5.5	+4.0%	永续	502038	502036	5:5	0	0.50%	互联金融
502041	000016	5	+3.5%	永续	502042	502040	5:5	1.20%	0.50%	上50分级
502049	000016	4.5	+3.0%	永续	502050	502048	5:5	0	0.50%	50分级
502054	399975	5	+3.5%	永续	502055	502053	5:5	1.20%	0.50%	券商分级
502057	399989	5.5	+4.0%	永续	502058	502056	5:5	0	0.50%	医疗分级
